User,creationDate,listingId,strategy,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期类型,逾期（0-15天）还清次数,逾期（15天以上）还清次数,本次借款后负债,title,投标人数,进度
,,124951423,,日常消费,800,暂无,20%,"5,000.00","6,724.46",0次流标， 0次撤标， 0次失败,开放教育,私营业主,20,暂未提供,"3,646.56",女,16次,64次,暂未提供,专科,3个月,64次,国家开放大学,2017/09/02,2017/09/02,"22,093.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124951548,,旅游,"2,000",暂无,20%,"15,000.00","23,386.29",0次流标， 0次撤标， 0次失败,无,私营业主,33,暂未提供,"13,113.19",男,8次,53次,暂未提供,无,6个月,49次,无,2016/02/24,2016/02/24,"38,136.00",B,"40,666.00",旅游,经营收入,,3次,0次,,,,
,,124951966,,日常消费,"3,000",暂无,20%,"15,000.00","19,668.33",0次流标， 0次撤标， 0次失败,成人,暂未提供,26,暂未提供,"12,257.94",女,8次,53次,暂未提供,专科,6个月,48次,对外经济贸易大学,2016/01/25,2016/01/25,"45,558.00",B,暂未提供,日常消费,薪资收入,,5次,0次,,,,
,,124952028,,日常消费,"1,000",暂无,20%,"3,000.00","7,012.73",0次流标， 1次撤标， 0次失败,无,暂未提供,21,暂未提供,"6,560.30",女,6次,23次,暂未提供,无,6个月,23次,无,2017/03/12,2017/03/12,"12,000.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124952994,,日常消费,"2,400",暂无,20%,"6,300.00","11,072.83",0次流标， 0次撤标， 0次失败,无,私营业主,30,暂未提供,"2,256.35",女,9次,59次,暂未提供,无,6个月,51次,无,2016/08/08,2016/08/08,"29,846.00",B,暂未提供,日常消费,薪资收入,,8次,0次,,,,
,,124953737,,日常消费,"1,593",暂无,20%,"4,000.00","15,307.07",0次流标， 1次撤标， 0次失败,无,私营业主,37,暂未提供,"12,992.18",女,26次,189次,暂未提供,无,6个月,189次,无,2016/09/23,2016/10/08,"59,529.00",B,"2,910.00",日常消费,经营收入,,0次,0次,,,,
,,124953682,,医疗,"1,500",暂无,20%,"18,000.00","22,847.94",3次流标， 0次撤标， 0次失败,无,私营业主,39,暂未提供,"20,089.29",男,2次,4次,暂未提供,无,6个月,4次,无,2016/12/05,2018/05/03,"19,857.00",B,"130,000.00",医疗,经营收入,,0次,0次,,,,
,,124954126,,日常消费,"1,200",暂无,20%,"3,000.00","10,311.38",0次流标， 1次撤标， 0次失败,无,暂未提供,22,暂未提供,"8,933.59",男,10次,31次,暂未提供,无,6个月,31次,无,2017/07/30,2017/07/31,"18,300.00",B,"13,402.00",日常消费,薪资收入,,0次,0次,,,,
,,124954182,,日常消费,"1,200",暂无,20%,"2,000.00","7,030.07",3次流标， 0次撤标， 0次失败,无,暂未提供,20,暂未提供,"4,144.96",女,15次,83次,暂未提供,无,6个月,72次,无,2017/05/31,2017/06/01,"14,150.00",B,暂未提供,日常消费,薪资收入,,6次,0次,,,,
,,124954187,,旅游,"2,554",暂无,20%,"10,000.00","12,223.32",1次流标， 0次撤标， 0次失败,无,私营业主,41,暂未提供,"8,777.33",女,7次,27次,暂未提供,无,6个月,26次,无,2017/10/08,2017/10/17,"30,810.00",B,"2,000.00",旅游,经营收入,,1次,0次,,,,
,,124954501,,日常消费,900,暂无,20%,"3,000.00","8,912.42",0次流标， 0次撤标， 0次失败,函授,暂未提供,25,暂未提供,"7,337.52",男,9次,31次,暂未提供,专科,6个月,29次,广东石油化工学院,2015/11/26,2018/02/03,"12,400.00",B,暂未提供,日常消费,薪资收入,,2次,0次,,,,
,,124954729,,医疗,"2,000",暂无,20%,"4,900.00","5,753.40",0次流标， 0次撤标， 0次失败,无,暂未提供,27,暂未提供,"2,559.08",女,8次,48次,暂未提供,无,6个月,45次,无,2017/01/01,2017/01/02,"16,328.00",B,暂未提供,医疗,薪资收入,,3次,0次,,,,
,,124954889,,日常消费,"2,089",暂无,20%,"32,843.00","43,880.61",2次流标， 0次撤标， 0次失败,无,暂未提供,32,暂未提供,"19,558.59",男,7次,36次,暂未提供,无,6个月,36次,无,2014/04/19,2016/03/06,"73,221.00",B,"20,614.00",日常消费,经营收入,,0次,0次,,,,
,,124954733,,日常消费,581,暂无,20%,"7,000.00","9,517.84",0次流标， 1次撤标， 0次失败,无,私营业主,35,暂未提供,"7,668.49",男,4次,11次,暂未提供,无,6个月,10次,无,2018/02/06,2018/02/08,"10,630.00",B,暂未提供,日常消费,经营收入,,1次,0次,,,,
,,124954942,,日常消费,700,暂无,20%,"2,000.00","7,056.96",0次流标， 1次撤标， 0次失败,无,暂未提供,20,暂未提供,"5,555.42",女,19次,80次,暂未提供,无,3个月,79次,无,2017/06/27,2017/06/28,"22,078.00",B,"3,941.00",日常消费,薪资收入,,1次,0次,,,,
