amount,avatarUrl,bidAmountAverage,bidDurationAverage,feeRate,funding,introduction_x,isOpen,nickName,overdueRate30,overdueRate30AverageStr,overdueRate60,overdueRate60AverageStr,overdueRate90,overdueRate90AverageStr,plannerName,rate,runDays,strategyId,strategyTitle,strategyType,Unnamed: 0,Unnamed: 0.1,introduction_y,popularity,sumBidAmount,sumSelfBidAmount,userId,yieldRate,sumBidAmountDetail,registerDate
200,https://jc01.info.user.ppdai.com/c209170f7fa94c4294923f92e9f93619.JPG,9420746.5333,12,0.0,46,投12月以上高息标,0,山里人,0,--,0,--,0,--,,0.1053,16,5056,长期高息好转让,0,157,157,"专注于历史数据统计与数据分析, 倾向于稳重偏严苛的策略选择, 争取获得大概率稳定收益.",158,3251173.0,220904.0,8134624,18.29,5717583,2015-08-22
200,https://jc01.info.user.ppdai.com/b28a510f211e479ca53949bf074a849d.jpg,9406230.8667,12,0.0,46,活动专用,0,人生如梦,0,--,0,--,0,--,,0.1053,16,4996,「大于12月陪标」,0,192,192,策略主要是自用为主，也欢迎大户加入跟投~,72,2591133.0,592686.0,43506672,16.66,17740293,2017-02-03
200,https://jc01.info.user.ppdai.com/a8aa80a0f4f24b7d85cdab7ee4821baf.jpg,31981827.0,7,0.0,41,陪标，筛选条件较宽，标量多多益善。,0,大巧不工,0,--,0,--,0,--,,0.1036,8,5553,自用陪标,0,198,198,拍拍贷3年投资经验。累计年化收益率15%以上。日久见人心，用投资回报说话。,62,1170047.0,126621.0,9386277,15.81,7073540,2015-10-04
200,https://jc01.info.user.ppdai.com/b1b65a36aff0445a82372c9e8cb03bc6.png,22549713.4,6,0.0,41,为喜欢陪标的朋友提供方便,0,问道于风,0,--,0,--,0,--,,0.1032,27,4621,免费陪标,0,160,160,问道于风，凭心远行,143,2466628.0,162517.0,29221235,14.41,2986108,2016-07-30
200,https://jc01.info.user.ppdai.com/7a7f0b7311e9421bbe11cbceeb78bca2.png,10096394.1667,7,0.0,41,致富赔,0,诚实豆沙包,0,--,0,--,0,--,,0.1035,14,5256,提前还款赔,0,123,123,金融从业12年，对金融大环境和周期非常敏感，只给投资人我最好的策略,302,3741118.0,242312.0,7656098,14.47,7651328,2015-08-01
200,https://jc01.info.user.ppdai.com/fb870de22be449b5b4db83a46fe22bac.jpg,6629376.6333,6,0.0,38,6月女赔，后宫爱好者最爱,0,叶叶,0,--,0,--,0,--,,0.1034,16,5106,6月女赔,0,177,177,投资信标3年，略有小成,95,1415349.0,49332.0,6900371,15.909999999999998,3110283,2015-06-22
200,https://jc01.info.user.ppdai.com/ff111ec68f06493b9a58b4dc78b3e763.png,3274094.5,12,0.0,37,所有我设置的维度都公示了，自己看吧，看不懂的再来问我！,0,熬胶,0,--,0,--,0,--,,0.1052,15,5196,十二月赔——驴托,0,61,61,日久见人心！驴托,769,4336538.0,141431.0,39776371,19.59,3020172,2016-12-17
200,https://jc01.info.user.ppdai.com/5c9bc6ecdf4f4e8382daa7f3dec5ad19.jpg,4052017.1333,6,0.0,36,短期赔标，替代活期,0,修生养息,0,--,0,--,0,--,,0.1033,70,3568,短期赔标,0,68,68,从2013年开始接触网贷，在拍拍贷上有5年以上的投资经验，长期累计收益率保持在18%左右，投资经验比较丰富,688,7812121.0,794473.0,936038,18.17,5741595,2012-12-06
200,https://jc01.info.user.ppdai.com/4eb3448966f04670b3e0f87681abfe61.jpg,1937116.2667,6,0.0,34,稳了，稳了。,0,道法自然,0,--,0,--,0,--,,0.1027,5,5676,稳了,0,140,140,本人上海某大学副教授，理学博士。策略自用为主，欢迎使用。,247,4348262.0,1015813.0,51111665,15.93,7471020,2017-05-02
200,https://jc01.info.user.ppdai.com/3406442d5e864de0a5e8d6f96044eb7b.jpg,32680616.7333,7,0.0,33,标荒过度,0,淡墨,0,--,0,--,0,--,,0.1034,1,5852,标荒过度,0,205,205,低风险，追求稳定收益。,55,644453.0,82775.0,59954630,17.130000000000006,3408763,2017-08-02
200,https://jc01.info.user.ppdai.com/887212e8063242c39fa0d6a5c3947a47.JPG,7314900.5,6,0.0,33,回款快，滚动利率高。,0,砥砺前行,0,--,0,--,0,--,,0.1034,16,4973,1-6月短期女标,0,191,191,2015年开始投资拍拍贷，从最初的陪标转向信标，看中的就是拍拍贷的模式和未来对个人信用的完善。通过大数据不断试错，投资取得较稳定的成绩。,73,2210427.0,32803.0,9529782,16.650000000000002,2771631,2015-10-09
200,https://jc01.info.user.ppdai.com/3ded348f18a04ecfa5b7e308c49f50b5.jpg,1575274.1667,6,0.0,33,短期6月陪标，优选首次低借款，以提高提前还款概率。,0,紫电青鱼,0,--,0,--,0,--,,0.10300000000000001,29,4635,六月飞标,0,197,197,作为令人放心的平台之一，我2016年起投资了拍拍；进而发现自身的努力，可以获得很好的收益，希望能通过平台结交更多朋友，共同提高投资收益,63,675265.0,8853.0,35600267,13.77,7593353,2016-10-25
200,https://jc01.info.user.ppdai.com/7e55f1d1b4f54525991fe55b9b84f330.jpg,3570246.4333,8,0.0,32,通过多个维度设定提高秒还概率，使消卷、复投更快，复利更高,0,完美宇宙,0,--,0,--,0,--,,0.1036,34,4471,完美宇宙陪标,0,176,176,近二十年数据统计分析工作，多年投资拍拍经验，策略经过老鸟的指点和时间的经验，使用收益很好。,97,1320730.0,27150.0,63075705,18.54,2188527,2017-09-01
200,https://jc01.info.user.ppdai.com/fc2ec0c3ba7148c99e5a2e0c0cca5d6b.jpg,2252259.6667,6,0.0,31,6月、小额度、首次借款,0,希望的光,0,--,0,--,0,--,,0.1028,7,5566,6月小额首借赔标,0,211,211,2014年开始投资拍拍贷，至目前收益还不错，对于互联网金融这个行业的前景还是蛮看好的。,50,537795.0,6380.0,3632164,14.47,4840897,2014-09-11
200,https://jc01.info.user.ppdai.com/e1800735498a4c1da8c328c0e24b2c4f.jpg,10554247.6,6,0.0,30,无长期逾期的陪标策略，降低逾期风险。,0,行大运,0,--,0,--,0,--,,0.105,98,3140,行大运的陪标3,0,163,163,有丰富的P2P投资经验，2015年开始投资PPD，对自动投标策略有长期的使用经验和独到见解，路遥知马力，日久见人心。,134,3164994.0,755990.0,8491375,15.310000000000002,11884959,2015-09-04
200,https://jc01.info.user.ppdai.com/bdb94e2713454f65b14d97c166d27429.jpg,32560635.5667,7,0.0,29,大标量赔标策略。,0,持之以恒,0,--,0,--,0,--,,0.1035,1,5863,大平洋一号,0,230,230,计算机专业，擅长数据分析。2016年开始投资拍拍贷，走过一些弯路，也因此积累了宝贵的经验和原始数据，目标是希望获得持续和稳定的收益。,38,838499.0,66197.0,18103170,13.63,4159616,2016-01-08
200,https://jc01.info.user.ppdai.com/583ba618c9fb4372b27c3911ce7e96f7.JPG,4128514.7,6,0.0,29,主要是增加提前还款概率，来提高收益率，建仓和加仓神器。,0,果汁分你一半,0,--,0,--,0,--,,0.1029,5,5681,提前好福气,0,120,120,近2年投资经验，自用策略，大家放心使用。,316,2274859.0,53213.0,43197859,15.79,6158700,2017-01-25
200,https://jc01.info.user.ppdai.com/776c2f4fe7a54a9d97fd9032eec5d55e.jpg,31981827.0,7,0.0,28,高息赔标，欢迎使用,0,小蓝,0,--,0,--,0,--,,0.1036,36,4346,高息赔标,0,169,169,本人2012年开始投资拍拍贷，有六年的投资经验，经过六年的投资能够很好的把握某些数据对逾期的影响，能够很好的控制逾期比例，达到高收益,112,1676609.0,122415.0,895761,16.66,2693716,2012-10-29
200,https://jc01.info.user.ppdai.com/e6a77b09b2c64711814c10c4918865d8.jpg,3508562.7,7,0.0,28,学历认证陪标,0,慢慢长大,0,--,0,--,0,--,,0.105,41,4044,学历认证陪标,0,43,43,2012年注册拍拍贷，5年投资拍拍贷经历，擅长数据挖掘。作风稳健。本策略自用为主，不追求投标量！,998,17910646.0,760701.0,899416,14.94,13989706,2012-11-03
200,https://jc01.info.user.ppdai.com/d03d7239ffd44adc8201b1bdd8656aac.jpg,1501947.9667,6,0.0,28,小金额无逾期策略,0,懒猫,0,--,0,--,0,--,,0.1037,14,4705,小崽崽2,0,208,208,我已经在拍拍贷投资三年了，积攒了丰富的投资经验，一直保持着不错的收益,53,2441897.0,134030.0,25972700,16.259999999999998,5944430,2016-06-12
200,https://jc01.info.user.ppdai.com/a10a1f1e88e54a5097b9e74a1a7b6446.jpg,4042376.7,6,0.0,27,6月陪标,0,aitpi,0,--,0,--,0,--,,0.1037,9,5427,6陪,0,225,225,自用策略，欢迎试用,41,1771233.0,118882.0,40755939,13.61,3424098,2016-12-29
