User,creationDate,listingId,title,借款用途,借款金额,协议利率,单笔最高借款金额,历史最高负债,学习形式,工作信息,年龄,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数
pdu2****43670,2018-08-07 10:41:58,124193278,pdu2****43670第14次借款,日常消费,5422.0,20.0,13000.0,22354.71,普通,暂未提供,32,16196.88,女,14,86,5000-8000（含5000）,本科,3,83,吉林农业大学发展学院,2016-06-14,2016-06-14 10:42:51,82481.0,B,0.0,薪资收入,3,0
pdu0****75412,2018-08-07 11:26:24,124199428,手机app用户的第4次闪电借款,日常消费,6800.0,20.0,9000.0,10320.39,无,暂未提供,33,4866.66,女,4,13,5000-8000（含5000）,无,3,13,无,2017-04-27,2017-05-20 09:33:04,32900.0,B,0.0,薪资收入,0,0
pdu7****56670,2018-08-07 12:00:08,124203911,pdu7****56670第13次借款,装修,2692.0,20.0,6600.0,8394.33,无,暂未提供,33,6860.54,女,14,60,5000-8000（含5000）,无,3,60,无,2016-12-31,2017-07-07 17:50:11,31187.0,B,0.0,薪资收入,0,0
pdu3****55002,2018-08-07 12:26:07,124207172,pdu3****55002第14次借款,日常消费,5000.0,20.0,10000.0,23401.89,普通,私营业主,33,23401.89,女,15,77,5000-8000（含5000）,专科,3,71,第四军医大学,2016-10-18,2016-10-18 12:14:58,89290.0,B,5743.0,经营收入,6,0
pdu****5855,2018-08-07 12:49:16,124210085,pdu7****855第26次借款,日常消费,5067.0,20.0,9600.0,22329.7,无,私营业主,38,18195.37,女,27,182,8000-15000（含8000）,无,3,179,无,2015-10-12,2015-10-12 19:30:26,118698.0,B,0.0,薪资收入,3,0
pdu5****80226,2018-08-07 13:16:42,124213389,pdu5****80226第12次借款,日常消费,1000.0,20.0,12000.0,14456.52,无,私营业主,44,12986.88,女,12,48,15000及以上,无,3,48,无,2017-02-28,2017-02-28 08:19:06,53444.0,B,31115.0,经营收入,0,0
pdu3****01042,2018-08-07 13:20:01,124213796,pdu3****01042第4次借款,日常消费,2166.0,20.0,9000.0,11248.56,无,暂未提供,35,9756.12,女,5,13,5000-8000（含5000）,无,3,13,无,2017-01-16,2018-02-11 17:19:23,18404.0,B,0.0,薪资收入,0,0
pdu3****31844,2018-08-07 14:10:02,124219970,pdu3****31844第11次借款,日常消费,1500.0,20.0,8000.0,17365.5,无,私营业主,36,16746.47,女,13,43,8000-15000（含8000）,无,3,43,无,2016-08-30,2017-03-01 03:23:44,49175.0,B,99323.0,薪资收入,0,0
pdu7****04567,2018-08-07 14:14:29,124220504,pdu7****04567第10次借款,装修,6848.0,20.0,19000.0,26607.19,无,私营业主,34,26607.19,女,11,53,15000及以上,无,3,51,无,2016-11-11,2016-11-11 20:35:36,87091.0,B,105079.0,薪资收入,2,0
pdu4****03705,2018-08-07 15:00:01,124226131,pdu4****03705第10次借款,日常消费,9894.0,20.0,30000.0,46736.18,无,私营业主,36,23748.96,男,11,78,15000及以上,无,3,78,无,2015-11-24,2015-11-24 09:56:46,81050.0,B,117933.0,薪资收入,0,0
